TransactionID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10
1,whole milk,pastry,salty snack,,,,,,,
2,sausage,whole milk,semi-finished bread,yogurt,,,,,,
3,soda,pickled vegetables,,,,,,,,
4,canned beer,misc. beverages,,,,,,,,
5,sausage,hygiene articles,,,,,,,,
6,sausage,whole milk,rolls/buns,,,,,,,
7,whole milk,soda,,,,,,,,
8,frankfurter,soda,whipped/sour cream,,,,,,,
9,frankfurter,curd,,,,,,,,
10,beef,white bread,,,,,,,,
11,butter,whole milk,,,,,,,,
12,frozen vegetables,other vegetables,,,,,,,,
13,tropical fruit,sugar,,,,,,,,
14,butter milk,specialty chocolate,,,,,,,,
15,frozen meals,dental care,,,,,,,,
16,rolls/buns,rolls/buns,,,,,,,,
17,root vegetables,detergent,,,,,,,,
18,sausage,rolls/buns,,,,,,,,
19,dish cleaner,cling film/bags,,,,,,,,
20,canned beer,frozen fish,,,,,,,,
21,pip fruit,whole milk,tropical fruit,,,,,,,
22,root vegetables,whole milk,pastry,,,,,,,
23,rolls/buns,red/blush wine,chocolate,,,,,,,
24,other vegetables,shopping bags,,,,,,,,
25,whole milk,chocolate,packaged fruit/vegetables,rolls/buns,,,,,,
26,other vegetables,hygiene articles,,,,,,,,
27,whipped/sour cream,margarine,,,,,,,,
28,rolls/buns,rolls/buns,,,,,,,,
29,bottled water,softener,rolls/buns,,,,,,,
30,whole milk,rice,,,,,,,,
31,shopping bags,skin care,,,,,,,,
32,whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,
33,hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,
34,tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,
35,canned fish,cocoa drinks,,,,,,,,
36,herbs,yogurt,newspapers,,,,,,,
37,tropical fruit,yogurt,,,,,,,,
38,pastry,ketchup,,,,,,,,
39,pip fruit,coffee,UHT-milk,,,,,,,
40,bottled water,specialty bar,,,,,,,,
41,frankfurter,bottled water,,,,,,,,
42,kitchen towels,sliced cheese,,,,,,,,
43,pip fruit,candles,rolls/buns,,,,,,,
44,curd cheese,pastry,,,,,,,,
45,citrus fruit,candy,bottled water,rolls/buns,,,,,,
46,whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,
47,frozen vegetables,brown bread,,,,,,,,
48,frankfurter,yogurt,,,,,,,,
49,processed cheese,whole milk,,,,,,,,
